link_code,sgg_cd,emd_cd,node_wkt,tp_br,tp_pk,tp_sw,link_id,type,sgg_nm,tp_in,tp_uw,node_id,tp_tn,tp_hw,emd_nm,node_code,end_node_id,link_wkt,link_len,tp_cw,strt_node_id
1111,1117000000,1117011100,,0,0,0,85327,LINK,⑹궛援,0,0,0,0,0,泥뙆3媛,,164311,"LINESTRING(126.97065906470215 37.54351171644846,126.97064308423873 37.5431924312638)",35.465,0,164303
1111,1117000000,1117012900,,0,0,0,96934,LINK,⑹궛援,0,0,0,0,0,댁큿,,57482,"LINESTRING(126.9741338447385 37.5188784124027,126.97524848724757 37.51851800880685)",106.348,0,57471
1111,1117000000,1117012800,,0,0,0,167068,LINK,⑹궛援,0,0,0,0,0,쒓컯濡3媛,,63242,"LINESTRING(126.96109469329578 37.525314381679976,126.96165471985046 37.525930126226676)",84.386,0,158075
1111,1117000000,1117012900,,0,0,0,65659,LINK,⑹궛援,0,0,0,0,0,댁큿,,57509,"LINESTRING(126.97247973051554 37.518179871785854,126.97361178313176 37.517824111269604)",107.586,0,57465
1111,1117000000,1117011400,,0,0,0,167085,LINK,⑹궛援,0,0,0,0,0,좎갹,,150482,"LINESTRING(126.95643706799633 37.53561191662853,126.95682020454802 37.53553734609053)",34.86,0,150450
1000,1117000000,1117013000,,0,0,0,65658,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,65739,"LINESTRING(126.99286902603903 37.54298565030621,126.99329896230454 37.543022094836616)",38.21,1,65738
1111,1117000000,1117011600,,0,0,0,165377,LINK,⑹궛援,0,0,0,0,0,泥븫,,150826,"LINESTRING(126.948188988846 37.5353813392994,126.94838852480666 37.53513238916938)",32.779,0,62701
1111,1117000000,1117010100,,0,0,0,85390,LINK,⑹궛援,0,0,0,0,0,꾩븫,,71345,"LINESTRING(126.9824340200081 37.551985594539005,126.98293501552861 37.55154044211948,126.9832415954661 37.551099812519624)",122.246,0,65404
1111,1117000000,1117012900,,0,0,0,165919,LINK,⑹궛援,0,0,0,0,0,댁큿,,153959,"LINESTRING(126.95624751913368 37.52604217263981,126.95643867349966 37.525852050015644)",27.033,0,153958
1111,1117000000,1117013100,,0,0,0,83874,LINK,⑹궛援,0,0,0,0,0,쒕궓,,178987,"LINESTRING(127.00363190541887 37.53159763086234,127.00372620930354 37.53147113259168)",16.328,0,66714
1111,1117000000,1117013000,,0,0,0,87936,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,149061,"LINESTRING(126.98978609893425 37.53844817340169,126.98987551699153 37.5385999114401)",18.603,0,149037
1111,1117000000,1117011500,,0,0,0,90171,LINK,⑹궛援,0,0,0,0,0,곗쿇,,150836,"LINESTRING(126.94962305248582 37.534855762686966,126.94966225206066 37.534693905011174,126.94991632071392 37.53472514272507,126.94985751166556 37.5349834941983)",70.158,0,150834
1111,1117000000,1117013100,,0,0,0,165949,LINK,⑹궛援,0,0,0,0,0,쒕궓,,178253,"LINESTRING(127.00623348072412 37.5371208209408,127.00634287567685 37.53676755652965)",40.383,0,178252
1111,1117000000,1117013100,,0,0,0,97502,LINK,⑹궛援,0,0,0,0,0,쒕궓,,180568,"LINESTRING(127.009157580804 37.53392373639411,127.00913747725852 37.53401985115502)",10.815,0,180567
1000,1117000000,1117011900,,0,0,0,166509,LINK,⑹궛援,0,0,0,0,0,⑥갹,,122764,"LINESTRING(126.96215629457208 37.54503768198372,126.96194474008884 37.54516526841375)",23.453,1,125738
1111,1117000000,1117011700,,0,0,0,65016,LINK,⑹궛援,0,0,0,0,0,먰슚濡3媛,,62796,"LINESTRING(126.95742859167846 37.534365950571384,126.95746069647033 37.53478449601694)",46.54,0,62795
1111,1117000000,1117012200,,0,0,0,82891,LINK,⑹궛援,0,0,0,0,0,臾몃같,,165333,"LINESTRING(126.97075673857465 37.53900368021336,126.97073349033992 37.53826880031348)",81.589,0,165312
1111,1117000000,1117013000,,0,0,0,68995,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,66005,"LINESTRING(126.997135409764 37.534597238565766,126.9959280598615 37.53451395876278,126.9957660343581 37.534509790847686)",121.439,0,66004
1111,1117000000,1117013600,,0,0,0,166516,LINK,⑹궛援,0,0,0,0,0,蹂닿킅,,177002,"LINESTRING(127.00118882125619 37.52975267170137,127.00153573298954 37.52956951383322,127.00156691567858 37.52953847039483)",41.202,0,176986
1111,1117000000,1117011000,,0,0,0,93303,LINK,⑹궛援,0,0,0,0,0,泥뙆2媛,,163959,"LINESTRING(126.96746032330255 37.54513539769594,126.9676413135127 37.5452384087074,126.96779647526566 37.5452641914434)",33.668,0,64134
